# YEA	MON	DAY	NAME

 1888	5	25	Wahl Jean
 1888	5	30	Sboto Edoardo
 1888	7	14	Lacretelle Jacques
 1888	7	26	Jouhandeau Marcel
 1888	7	30	Bernard Jean
 1888	8	9	Busetto Andrea
 1888	9	8	Thiry Antoon
 1888	10	7	Bauer Gerard
 1888	10	25	Pauwels Francois
 1888	11	16	Bosco Henri
 1888	12	2	Paulin Louisa
 1888	12	15	Greshoff Jan
 1888	12	20	Maas Moer Agnes
 1889	2	2	Silvestre Charles
 1889	2	8	Baganzani Sandro
 1889	2	13	Dereme Tristan
 1889	2	14	Fabre Lucien
 1889	3	10	Ardau Giuseppe
 1889	3	17	Durand Premorel Adrien
 1889	3	17	Treich Leon
 1889	3	29	Gueguen Pierre
 1889	3	31	Braibant Charles
 1889	5	7	Lefevre Frederic
 1889	6	13	Acremant Germaine
 1889	6	24	Schuyter Jan
 1889	7	5	Cocteau Jean
 1889	9	3	Lalou Rene
 1889	9	13	Reverdy Pierre
 1889	9	22	Malpassuti Vittorio
 1889	10	26	Villaroel Giuseppe
 1889	11	25	Garcon Maurice
 1889	12	7	Marcel Gabriel
 1890	1	10	Lannoy Maria
 1890	1	10	Sapori Francesco
 1890	2	17	Devignes Genevieve
 1890	3	25	Guehenno Jean
 1890	3	26	Arras Jozef
 1890	4	7	Blanchard Maurice
 1890	6	7	Chadourne Louis
 1890	7	11	Lemonnier Leon
 1890	8	31	Adine France
 1890	9	9	Peyre Sully
 1890	10	23	Crick Jef
 1890	10	24	Flory Albert
 1890	11	8	Bongiovanni Giametto
 1890	11	29	Genevoix Maurice
 1890	12	7	Degee Olivier
 1891	1	2	De Stefani Alessandro
 1891	3	2	Rat Maurice
 1891	3	6	Dupierreux Richard
 1891	3	7	Titta-Rosa Giovanni
 1891	3	14	Frenay-Cid Herman
 1891	4	19	Bacchelli Riccardo
 1891	5	18	Carnap Rudolf
