# 2154 French Physicians, Military Men and Executives. Serie E, volume 1 : from 1901 to 1963 
# http://cura.free.fr/gauq/902gdE1.html
# 沒有地點的經緯度！
# NUM	  PRO      NAME              	             DAY   MON   YEA     H        CITY                     COD

0293    PH       BUTTIN Gérard                   21    10    1931    15:30    Chambéry                  73
0294    PH       CABANAC Jean                    10    07    1905    12:00    Chambon sur Lignon        43
0295    PH       CABANETTES Lucien               30    05    1920    17:00    St Côme sur Lot           12
0296    PH       CABANETTES Suzanne (COURS)      19    11    1919    08:00    Poët-Laval                26
0297    MI     L CABANIER Georgss                21    11    1906    22:00    Grenade                   31
0298    EX       CABIAC Roger                    07    10    1921    07:00    Aigues-Vives              30
0299    PH       CABROL Christian                16    09    1925    20:00    Chezy sur Marne           02
0300    EX       CACHAREL Jean (BOUSQUET)        30    03    1932    23:00    Nîmes                     30
0301    PH       CACHERA Jean Paul               08    12    1930    08:15    Boulogne-Billt            92
0302    MI     L CADEAC D'ARDAUD Jean            26    04    1917    21:00    Agen                      47
0303    PH       CADENAT Etienne                 27    07    1895    10:00    Toulouse                  31
0304    PH       CADERAS DE KERLEAU Jean         04    09    1906    19:00    Guilvinec                 29
0305    MI       CAGGER Georges                  14    03    1909    10:50    Aix les Bains             73
0306    MI       CAIDE Laurent                   13    06    1870    03:00    Tignes les Brévières      73
0307    MI       CALEMARD Joseph                 01    10    1874    02:30    St Etienne                42
0308    EX       CALLENS Paul                    23    03    1923    02:30    Tourcoing                 59
0309    PH     + CALVET Jean                     08    08    1900    01:00    Olonzac en Minervois      34
0310    PH       CALVET Jean Paul                29    12    1908    18:00    Chaumont                  52
0311    PH       CAMBAR Roger                    12    08    1912    09:00    Rodez                     12
0312    EX       CAMUS Raymond                   10    04    1911    09:30    Le Havre                  76
0313    PH       CANALS Etienne                  18    01    1888    01:00    Palau del Vidre           66
0314    PH       CANEL Robert                    13    12    1907    11:00    Belleville                55
0315    MI       CANTAREL Emile                  10    08    1909    19:00    Flers de l'Orne           61
0316    PH       CANTONI Georges                 09    07    1913    10:00    Aix en Provence           13
0317    PH       CAPETTE Louis                   17    01    1879    06:30    Paris                     75
0318    MI       CAPODANNO Ferdinand             30    09    1909    10:00    Tarascon sur Ariège       09
0319    PH       CAPSEC-LAPORTERIE Jean          07    05    1906    06:00    St Médard en Jalles       33
0320    MI       CARAYON André                   20    11    1915    08:00    Perpignan                 66
0321    MI       CARDOT Jean                     09    05    1920    03:00    Chambéry                  73
0322    EX       CARETTE Alain                   03    09    1929    17:15    Bois-Colombes             92
0323    MI       CARETTE Albert                  14    05    1917    21:00    Roanne                    42
0324    PH       CARLIER Georges                 28    02    1909    17:30    Lille                     59
0325    PH       CAROLI Jacques                  21    05    1902    01:00    Les Essarts le Roy        78
0326    MI       CARON Yves                      07    09    1900    19:45    Luneray                   76
0327    MI       CARPENTIER Marcel               02    03    1895    04:00    Preuilly                  37
0328    PH       CARRAZ Maurice                  23    02    1921    21:00    Cibains                   01
0329    MI       CARRE Adrien                    04    09    1908    06:30    Brest                     29
0330    EX       CARRE Pierre                    21    07    1900    16:00    Guise                     02
0331    PH       CARREZ Pierre                   09    05    1908    14:00    Beaurevoir                02
0332    MI       CARRIERE Pierre                 19    11    1912    08:00    Villefranche de La        31
0333    MI     * CARTERET-TRECOURT Simon         03    01    1821    19:00    Rolampont                 52
0334    EX       CARTIER René                    21    08    1910    12:00    Lille                     59
0335    EX       CARVEN Carmen (TOMMASO)         31    08    1909    22:00    Chatellerault             86
0336    PH     - CASABAN Bernard de              03    06    1902    06:00    Pau                       66
0337    EX       CASALEGNO Emile                 02    12    1923    07:00    St Rambert en Bugey       01
0338    PH       CASALIS Bernard                 01    05    1902    17:30    Osse en Aspa              64
0339    EX       CASANOVA Jean                   07    05    1918    04:00    Marseille                 13
0340    MI     L CASSIN René                     05    10    1887    09:00    Bayonne                   64
0341    MI       CASSO Robert                    27    08    1912    08:00    Valmanya                  66
0342    PH     - CASTAN Jean                     04    05    1903    06:00    Alban                     81
0343    PH       CASTETS Bruno                   23    10    1923    21:00    St Cyr l'Ecole            78
0344    PH       CATALA René                     23    11    1901    04:00    Epinal                    88
0345    MI       CATHALA Léoncs                  07    10    1912    17:00    Montbrun                  11
0346    EX       CATINAT Jacques                 02    01    1910    08:00    Lille                     59
