# 新版 http://cura.free.fr/gauq/902gdA6.html
# 舊版 http://cura.free.fr/gauq/11gdA6.txt
# Writer 作家 , 1352位

# 有 name , list size = 1285
# 無 name , list size =   67

# PRO	NUM	COU	DAY	MON	YEA	H	MN	SEC	TZ	LAT	LON	COD	CITY	

W	241	F	26	9	1862	12	54	16	0	44N27	1E26	46	FIGEAC
W	242	F	6	9	1876	2	10	56	0	47N40	2W44	56	VANNES
W	243	F	14	9	1875	2	40	40	0	43N57	4E50	84	AVIGNON
W	244	F	20	4	1894	5	50	40	0	43N12	2E21	11	VILLAR-EN-VAL
W	245	F	28	12	1931	20	0	0	0	43N18	0W22	64	PAU
W	246	F	13	2	1889	0	57	28	0	44N12	0E38	47	MARMANDE
W	247	F	4	8	1882	5	27	28	0	44N12	0E38	47	VILLENEUVE/LOT
W	248	F	2	9	1846	21	50	40	0	48N50	2E20	75	PARIS
W	249	F	18	3	1861	1	50	40	0	48N50	2E20	75	PARIS
W	250	F	4	7	1900	5	50	40	0	48N50	2E20	75	PARIS
W	251	F	23	2	1802	1	39	8	0	46N12	5E13	01	REPLONGES
W	252	F	22	11	1919	9	30	0	0	49N26	1E 5	76	LE HAVRE
W	253	F	22	3	1879	22	2	32	0	47N38	6E52	90	BELFORT
W	254	F	2	1	1897	4	50	40	0	44N50	0W34	33	BORDEAUX
W	255	F	11	9	1885	8	29	20	0	45N39	0E10	16	ANGOULEME
W	256	F	17	2	1890	15	42	32	0	48N57	4E22	51	SUIPPES
W	257	F	1	9	1900	6	50	40	0	49N46	4E44	08	ATTIGNY
W	258	F	28	11	1893	18	20	40	0	43N42	7E16	06	CANNES
W	259	F	19	6	1912	21	0	0	0	44N27	1E26	46	SAINT-CERE
W	260	F	24	8	1908	16	50	40	0	48N47	2E29	94	ST MAUR-DES-FOS
W	261	F	15	6	1885	6	50	48	0	49N54	2E18	80	AMIENS
W	262	F	13	11	1891	22	20	40	0	46N 9	1W10	17	LA ROCHELLE
W	263	F	20	1	1873	18	5	52	0	47N15	6E 2	25	LIESLE
W	264	F	22	7	1901	9	50	40	0	43N37	3E53	34	ROUJAN
W	265!	F	6	3	1860	1	10	40	0	48N50	2E20	75	PARIS
W	266	F	10	2	1936	11	0	0	0	48N 7	1W40	35	REDON
W	267	F	3	1	1893	5	50	40	0	48N50	2E20	75	PARIS
W	268	F	23	1	1923	4	0	0	0	48N47	2E29	94	VINCENNES
W	269	F	21	5	1886	15	41	4	0	49N46	4E44	08	VOUZIERS
W	270	F	9	6	1832	14	50	40	0	48N50	2E20	75	PARIS
W	271	F	5	2	1895	18	50	40	0	49N34	3E37	02	PINON
W	272	F	3	5	1844	7	50	40	0	48N50	2E20	75	PARIS
W	273	F	24	2	1923	5	20	0	0	48N47	2E29	94	CHOISY-LE-ROI
W	274	F	26	10	1882	11	5	28	0	47N 5	2E23	18	ROMORANTIN
W	275	F	27	10	1882	4	20	40	0	48N50	2E20	75	PARIS
W	276	F	28	7	1887	13	55	40	0	49N26	1E 5	76	BLAINVILLE-CREV
W	277	F	17	3	1915	10	20	0	0	45N39	0E10	16	CHABANAIS
W	278	F	30	6	1884	10	50	40	0	48N50	2E20	75	PARIS
W	279	F	10	6	1861	6	50	40	0	48N50	2E20	75	PARIS
W	280	F	10	11	1861	5	54	40	0	47N35	1E20	41	STGERVAIS LA FO
W	281	F	24	7	1802	5	15	32	0	49N34	3E37	02	VILLERS-COTTERE
W	282	F	6	3	1866	22	42	36	0	43N51	4E21	30	LEDIGNAN
W	283	F	6	11	1916	13	0	0	0	46N12	5E13	01	REPLONGES
W	284	F	29	2	1920	18	0	0	0	46N17	1E52	23	AUZANCES
W	285	F	19	6	1879	9	55	40	0	49N26	1E 5	76	ROUEN
W	286	F	17	11	1929	10	40	0	0	46N18	4E50	71	LE CREUSOT
W	287	F	22	11	1849	1	6	20	0	47N13	1W35	44	NANTES
W	288	F	30	8	1900	0	50	40	0	47N13	1W35	44	NANTES
W	289	F	4	3	1927	18	30	0	0	44N44	4E36	07	PRIVAS
W	290	F	1	1	1930	19	30	0	0	49N26	1E 5	76	ROUEN
W	291	F	15	4	1858	0	4	8	0	48N10	6E28	88	EPINAL
W	292	F	4	4	1904	3	50	40	0	46N34	3E20	03	MONTLUCON
W	293	F	14	12	1895	10	50	40	0	48N55	2E30	93	SAINT-DENIS
W	294	F	17	4	1900	16	50	40	0	44N50	0W34	33	BORDEAUX
W	295	F	3	5	1916	21	0	0	0	43N18	0W22	64	GAN
W	296	F	17	7	1879	19	5	40	0	46N40	1W25	85	FONTENAY-LE-COM
W	297	F	20	5	1822	19	35	16	0	49N 7	6E11	57	PHALSBOURG
W	298	F	23	5	1844	7	45	40	0	47N48	3E35	89	ST FLORENTIN
W	299	F	4	2	1862	0	39	52	0	47N19	5E 2	21	DIJON
W	300	F	26	1	1909	15	50	40	0	48N 4	0W45	53	MAYENNE
W	301	F	24	3	1869	10	35	16	0	49N 7	6E11	57	METZ
W	302	F	9	6	1827	1	44	28	0	43N37	3E53	34	BEDARIEUX
W	303	F	14	2	1889	17	51	28	0	43N55	2E 8	81	PAMPELONNE
W	304	F	17	12	1847	6	5	40	0	46N40	1W25	85	LA ROCHE-S-YON
W	305	F	4	12	1927	16	0	0	0	48N47	2E29	94	VILLENEUVE-ST-G
W	306	F	27	4	1876	16	40	40	0	45N46	4E50	69	LYON
W	307	F	31	8	1882	22	25	40	0	49N26	1E 5	76	ROUEN
W	308	F	26	2	1879	15	59	20	0	45N39	0E10	16	BARBEZIEUX
W	309	F	4	4	1873	12	27	36	0	44N50	0W34	33	SAINTE FOY LA G
W	310	F	15	5	1877	15	41	36	0	44N44	4E36	07	TOURNON/RHONE
W	311	F	16	5	1873	8	50	0	0	48N55	2E30	93	PANTIN
W	312	F	10	4	1913	1	15	0	0	48N50	2E11	92	COURBEVOIE
W	313	F	11	8	1821	15	4	20	0	49N 7	1W 5	50	SAINT-LO
W	314	F	29	9	1816	15	36	40	0	48N 7	1W40	35	RENNES
W	315	F	8	12	1862	5	50	40	0	48N50	2E20	75	PARIS
W	316	F	15	2	1819	19	44	28	0	43N37	3E53	34	MONTPELLIER
W	317	F	26	2	1842	0	39	28	0	48N 7	5E 8	52	MONTIGNY LE ROI
W	318	F	12	12	1821	3	55	40	0	49N26	1E 5	76	ROUEN
W	319	F	25	11	1872	7	1	28	0	49N11	0W22	14	PONT-L'EVEQUE
W	320	F	28	10	1829	10	11	0	0	48N31	2W45	22	ST-BRIEUC
W	321	F	24	10	1890	14	41	36	0	44N44	4E36	07	LARGENTIERE
W	322	F	7	9	1881	3	39	52	0	47N19	5E 2	21	DIJON
W	323	F	29	8	1903	20	50	40	0	49N 7	1W 5	50	CANISY
W	324	F	23	9	1906	5	50	40	0	46N35	0E20	86	JARDRES
W	325	F	5	2	1865	9	42	40	0	50N50	4E20	B	BRUXELLES
W	326	F	16	8	1809	21	39	52	0	47N19	5E 2	21	BEAUNE
W	327	F	1	2	1872	5	42	32	0	48N57	4E22	51	REIMS
W	328	F	1	5	1913	12	0	0	0	49N 7	1W 5	50	SAINT VAAST-LA
W	329	F	5	5	1914	14	0	0	0	47N 5	2E23	18	ST-AMAND
W	330	F	18	10	1838	11	2	8	0	47N28	0W32	49	LA POUEZE
W	331	F	15	5	1873	18	51	40	0	49N26	2E 5	60	NOYON
W	332	F	6	4	1864	19	55	0	0	45N50	1E15	87	LIMOGES
W	333	F	3	11	1931	10	30	0	0	48N 7	1W40	35	REDON
W	334	F	16	4	1844	6	50	40	0	48N50	2E20	75	PARIS
W	335	F	2	10	1809	17	35	16	0	49N 7	6E11	57	LIOCOURT
W	336	F	25	10	1872	19	47	24	0	46N59	3E 9	58	CORBIGNY
W	337	F	11	10	1929	8	0	0	0	48N50	2E11	92	NEUILLY
W	338	F	27	1	1863	8	50	40	0	48N50	2E20	75	PARIS
