# CHRONOLOGICAL ORDER (按照出生日期排列) 
# YEA	MON	DAY	NAME

#此無資料
 1906	1	21	Holzer Maurice
 1906	1	23	Felbaco Pierre
 1906	2	6	Winter Paul
 1906	2	8	Pijnenburg Jan
 1906	2	19	Wauters Jef
 1906	2	26	Lebrun Ernestine
 1906	3	4	Ronsse Georges
 1906	3	11	Deolet Aime
 1906	4	21	Kenner Rene
 1906	5	1	Duhau Jean
 1906	5	22	Perversi Luigi
 1906	5	28	Verger Andre
 1906	7	2	Martin Seraphin
 1906	7	30	Thepot Alex
 1906	8	6	Journu Roland
 1906	8	30	Sybille Francois
 1906	8	31	Sommer Raymond
 1906	9	2	Pladner Emile
 1906	9	14	Diddens Jean
 1906	9	27	Dervaes Jef
 1906	9	28	Rousseau Maurice
 1906	9	29	Merviel Jules
 1906	10	12	Taruffi Piero
 1906	10	20	Meuleman August
 1906	12	10	Ladoumegue Jules
 1906	12	12	Serantoni Pietro
 1906	12	30	Laurent Jean
 1907	1	19	Grandi Allegro
 1907	1	25	Cornacchia Franco
 1907	1	30	Seynaeve Mauritz
 1907	2	8	Huat Eugene
 1907	2	11	Charlier Adolf
 1907	2	15	Delmer Henri
 1907	3	10	Gyssels Romain
 1907	4	11	Vervaecke Felicien
 1907	4	28	Braine Raymond
 1907	5	20	Vaast Charles
 1907	6	12	Veinante Emile
 1907	6	21	Hellemans Auguste
 1907	7	25	Letourneur Alfred
 1907	8	11	Stehlin Paul
 1907	9	5	Bacigalupo Manlio
 1907	9	5	Gyde Praxille
 1907	9	8	Aerts Jan
 1907	9	8	Flouret Jacques
 1907	9	26	Bonduel Franc
 1907	9	26	Klaveren Lambertus
 1907	10	10	Billiet Albert
 1907	10	22	Roy Jules
 1907	10	30	Peruchetti Giuseppe
 1907	11	1	Delfour Edmond
 1907	11	2	Stynen Emile
 1907	11	16	Durruty Etienne
 1907	11	22	Masetti Guido
 1907	12	6	Ferrari Giovanni
 1907	12	10	Laurent Lucien
 1907	12	27	Clery Raoul
 1908	1	9	Corsi Giordano
 1908	1	17	Pesenti Antonio
 1908	1	31	Mathieu Suzanne
 1908	2	2	Krauss Alfred
 1908	2	17	Nouwens Theodore
 1908	2	29	Malatesta Mario
 1908	3	3	Godard Yvonne
 1908	3	5	Boussus Christian
 1908	3	17	Perrin Marcel
 1908	3	19	Andoire Numa
 1908	3	22	Liberati Ernest
 1908	4	2	Lesurque Marcel
 1908	4	20	Korb Pierre
 1908	4	21	Hostin Louis
 1908	4	22	Bonizzoni Giuseppe
 1908	4	24	Niclot Furio
 1908	5	30	Cheuva Andre
